id,title,depth,href
1,Introduction,1.0,http://r4ds.had.co.nz/introduction.html
1.1,What you will learn,2.0,http://r4ds.had.co.nz/introduction.html#what-you-will-learn
1.2,How this book is organised,2.0,http://r4ds.had.co.nz/introduction.html#how-this-book-is-organised
1.3,What you won’t learn,2.0,http://r4ds.had.co.nz/introduction.html#what-you-wont-learn
1.4,Prerequisites,2.0,http://r4ds.had.co.nz/introduction.html#prerequisites
1.5,Running R code,2.0,http://r4ds.had.co.nz/introduction.html#running-r-code
1.6,Getting help and learning more,2.0,http://r4ds.had.co.nz/introduction.html#getting-help-and-learning-more
1.7,Acknowledgements,2.0,http://r4ds.had.co.nz/introduction.html#acknowledgements
1.8,Colophon,2.0,http://r4ds.had.co.nz/introduction.html#colophon
2,Introduction,1.0,http://r4ds.had.co.nz/explore-intro.html
3,Data visualisation,1.0,http://r4ds.had.co.nz/data-visualisation.html
3.1,Introduction,2.0,http://r4ds.had.co.nz/data-visualisation.html#introduction-1
3.2,First steps,2.0,http://r4ds.had.co.nz/data-visualisation.html#first-steps
3.3,Aesthetic mappings,2.0,http://r4ds.had.co.nz/data-visualisation.html#aesthetic-mappings
3.4,Common problems,2.0,http://r4ds.had.co.nz/data-visualisation.html#common-problems
3.5,Facets,2.0,http://r4ds.had.co.nz/data-visualisation.html#facets
3.6,Geometric objects,2.0,http://r4ds.had.co.nz/data-visualisation.html#geometric-objects
3.7,Statistical transformations,2.0,http://r4ds.had.co.nz/data-visualisation.html#statistical-transformations
3.8,Position adjustments,2.0,http://r4ds.had.co.nz/data-visualisation.html#position-adjustments
3.9,Coordinate systems,2.0,http://r4ds.had.co.nz/data-visualisation.html#coordinate-systems
3.10,The layered grammar of graphics,2.0,http://r4ds.had.co.nz/data-visualisation.html#the-layered-grammar-of-graphics
4,Workflow: basics,1.0,http://r4ds.had.co.nz/workflow-basics.html
4.1,Coding basics,2.0,http://r4ds.had.co.nz/workflow-basics.html#coding-basics
4.2,What’s in a name?,2.0,http://r4ds.had.co.nz/workflow-basics.html#whats-in-a-name
4.3,Calling functions,2.0,http://r4ds.had.co.nz/workflow-basics.html#calling-functions
4.4,Practice,2.0,http://r4ds.had.co.nz/workflow-basics.html#practice
5,Data transformation,1.0,http://r4ds.had.co.nz/transform.html
5.1,Introduction,2.0,http://r4ds.had.co.nz/transform.html#introduction-2
5.2,Filter rows with filter(),2.0,http://r4ds.had.co.nz/transform.html#filter-rows-with-filter
5.3,Arrange rows with arrange(),2.0,http://r4ds.had.co.nz/transform.html#arrange-rows-with-arrange
5.4,Select columns with select(),2.0,http://r4ds.had.co.nz/transform.html#select-columns-with-select
5.5,Add new variables with mutate(),2.0,http://r4ds.had.co.nz/transform.html#add-new-variables-with-mutate
5.6,Grouped summaries with summarise(),2.0,http://r4ds.had.co.nz/transform.html#grouped-summaries-with-summarise
5.7,Grouped mutates (and filters),2.0,http://r4ds.had.co.nz/transform.html#grouped-mutates-and-filters
6,Workflow: scripts,1.0,http://r4ds.had.co.nz/workflow-scripts.html
6.1,Running code,2.0,http://r4ds.had.co.nz/workflow-scripts.html#running-code
6.2,RStudio diagnostics,2.0,http://r4ds.had.co.nz/workflow-scripts.html#rstudio-diagnostics
6.3,Practice,2.0,http://r4ds.had.co.nz/workflow-scripts.html#practice-1
7,Exploratory Data Analysis,1.0,http://r4ds.had.co.nz/exploratory-data-analysis.html
7.1,Introduction,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#introduction-3
7.2,Questions,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#questions
7.3,Variation,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#variation
7.4,Missing values,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#missing-values-2
7.5,Covariation,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#covariation
7.6,Patterns and models,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#patterns-and-models
7.7,ggplot2 calls,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#ggplot2-calls
7.8,Learning more,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#learning-more
8,Workflow: projects,1.0,http://r4ds.had.co.nz/workflow-projects.html
8.1,What is real?,2.0,http://r4ds.had.co.nz/workflow-projects.html#what-is-real
8.2,Where does your analysis live?,2.0,http://r4ds.had.co.nz/workflow-projects.html#where-does-your-analysis-live
8.3,Paths and directories,2.0,http://r4ds.had.co.nz/workflow-projects.html#paths-and-directories
8.4,RStudio projects,2.0,http://r4ds.had.co.nz/workflow-projects.html#rstudio-projects
8.5,Summary,2.0,http://r4ds.had.co.nz/workflow-projects.html#summary
9,Introduction,1.0,http://r4ds.had.co.nz/wrangle-intro.html
10,Tibbles,1.0,http://r4ds.had.co.nz/tibbles.html
10.1,Introduction,2.0,http://r4ds.had.co.nz/tibbles.html#introduction-4
10.2,Creating tibbles,2.0,http://r4ds.had.co.nz/tibbles.html#tibbles
10.3,Tibbles vs. data.frame,2.0,http://r4ds.had.co.nz/tibbles.html#tibbles-vs.data.frame
10.4,Interacting with older code,2.0,http://r4ds.had.co.nz/tibbles.html#interacting-with-older-code
10.5,Exercises,2.0,http://r4ds.had.co.nz/tibbles.html#exercises-18
11,Data import,1.0,http://r4ds.had.co.nz/data-import.html
11.1,Introduction,2.0,http://r4ds.had.co.nz/data-import.html#introduction-5
11.2,Getting started,2.0,http://r4ds.had.co.nz/data-import.html#getting-started
11.3,Parsing a vector,2.0,http://r4ds.had.co.nz/data-import.html#parsing-a-vector
11.4,Parsing a file,2.0,http://r4ds.had.co.nz/data-import.html#parsing-a-file
11.5,Writing to a file,2.0,http://r4ds.had.co.nz/data-import.html#writing-to-a-file
11.6,Other types of data,2.0,http://r4ds.had.co.nz/data-import.html#other-types-of-data
12,Tidy data,1.0,http://r4ds.had.co.nz/tidy-data.html
12.1,Introduction,2.0,http://r4ds.had.co.nz/tidy-data.html#introduction-6
12.2,Tidy data,2.0,http://r4ds.had.co.nz/tidy-data.html#tidy-data-1
12.3,Spreading and gathering,2.0,http://r4ds.had.co.nz/tidy-data.html#spreading-and-gathering
12.4,Separating and uniting,2.0,http://r4ds.had.co.nz/tidy-data.html#separating-and-uniting
12.5,Missing values,2.0,http://r4ds.had.co.nz/tidy-data.html#missing-values-3
12.6,Case Study,2.0,http://r4ds.had.co.nz/tidy-data.html#case-study
12.7,Non-tidy data,2.0,http://r4ds.had.co.nz/tidy-data.html#non-tidy-data
13,Relational data,1.0,http://r4ds.had.co.nz/relational-data.html
13.1,Introduction,2.0,http://r4ds.had.co.nz/relational-data.html#introduction-7
13.2,nycflights13,2.0,http://r4ds.had.co.nz/relational-data.html#nycflights13-relational
13.3,Keys,2.0,http://r4ds.had.co.nz/relational-data.html#keys
13.4,Mutating joins,2.0,http://r4ds.had.co.nz/relational-data.html#mutating-joins
13.5,Filtering joins,2.0,http://r4ds.had.co.nz/relational-data.html#filtering-joins
13.6,Join problems,2.0,http://r4ds.had.co.nz/relational-data.html#join-problems
13.7,Set operations,2.0,http://r4ds.had.co.nz/relational-data.html#set-operations
14,Strings,1.0,http://r4ds.had.co.nz/strings.html
14.1,Introduction,2.0,http://r4ds.had.co.nz/strings.html#introduction-8
14.2,String basics,2.0,http://r4ds.had.co.nz/strings.html#string-basics
14.3,Matching patterns with regular expressions,2.0,http://r4ds.had.co.nz/strings.html#matching-patterns-with-regular-expressions
14.4,Tools,2.0,http://r4ds.had.co.nz/strings.html#tools
14.5,Other types of pattern,2.0,http://r4ds.had.co.nz/strings.html#other-types-of-pattern
14.6,Other uses of regular expressions,2.0,http://r4ds.had.co.nz/strings.html#other-uses-of-regular-expressions
14.7,stringi,2.0,http://r4ds.had.co.nz/strings.html#stringi
15,Factors,1.0,http://r4ds.had.co.nz/factors.html
15.1,Introduction,2.0,http://r4ds.had.co.nz/factors.html#introduction-9
15.2,Creating factors,2.0,http://r4ds.had.co.nz/factors.html#creating-factors
15.3,General Social Survey,2.0,http://r4ds.had.co.nz/factors.html#general-social-survey
15.4,Modifying factor order,2.0,http://r4ds.had.co.nz/factors.html#modifying-factor-order
15.5,Modifying factor levels,2.0,http://r4ds.had.co.nz/factors.html#modifying-factor-levels
16,Dates and times,1.0,http://r4ds.had.co.nz/dates-and-times.html
16.1,Introduction,2.0,http://r4ds.had.co.nz/dates-and-times.html#introduction-10
16.2,Creating date/times,2.0,http://r4ds.had.co.nz/dates-and-times.html#creating-datetimes
16.3,Date-time components,2.0,http://r4ds.had.co.nz/dates-and-times.html#date-time-components
16.4,Time spans,2.0,http://r4ds.had.co.nz/dates-and-times.html#time-spans
