id,title,depth,href
1,Introduction,1.0,http://r4ds.had.co.nz/introduction.html
1.1,What you will learn,2.0,http://r4ds.had.co.nz/introduction.html#what-you-will-learn
1.2,How this book is organised,2.0,http://r4ds.had.co.nz/introduction.html#how-this-book-is-organised
1.3,What you won’t learn,2.0,http://r4ds.had.co.nz/introduction.html#what-you-wont-learn
1.3.1,Big data,3.0,http://r4ds.had.co.nz/introduction.html#big-data
1.3.2,"Python, Julia, and friends",3.0,http://r4ds.had.co.nz/introduction.html#python-julia-and-friends
1.3.3,Non-rectangular data,3.0,http://r4ds.had.co.nz/introduction.html#non-rectangular-data
1.3.4,Hypothesis confirmation,3.0,http://r4ds.had.co.nz/introduction.html#hypothesis-confirmation
1.4,Prerequisites,2.0,http://r4ds.had.co.nz/introduction.html#prerequisites
1.4.1,R,3.0,http://r4ds.had.co.nz/introduction.html#r
1.4.2,RStudio,3.0,http://r4ds.had.co.nz/introduction.html#rstudio
1.4.3,The tidyverse,3.0,http://r4ds.had.co.nz/introduction.html#the-tidyverse
1.4.4,Other packages,3.0,http://r4ds.had.co.nz/introduction.html#other-packages
1.5,Running R code,2.0,http://r4ds.had.co.nz/introduction.html#running-r-code
1.6,Getting help and learning more,2.0,http://r4ds.had.co.nz/introduction.html#getting-help-and-learning-more
1.7,Acknowledgements,2.0,http://r4ds.had.co.nz/introduction.html#acknowledgements
1.8,Colophon,2.0,http://r4ds.had.co.nz/introduction.html#colophon
2,Introduction,1.0,http://r4ds.had.co.nz/explore-intro.html
3,Data visualisation,1.0,http://r4ds.had.co.nz/data-visualisation.html
3.1,Introduction,2.0,http://r4ds.had.co.nz/data-visualisation.html#introduction-1
3.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/data-visualisation.html#prerequisites-1
3.2,First steps,2.0,http://r4ds.had.co.nz/data-visualisation.html#first-steps
3.2.1,The mpg data frame,3.0,http://r4ds.had.co.nz/data-visualisation.html#the-mpg-data-frame
3.2.2,Creating a ggplot,3.0,http://r4ds.had.co.nz/data-visualisation.html#creating-a-ggplot
3.2.3,A graphing template,3.0,http://r4ds.had.co.nz/data-visualisation.html#a-graphing-template
3.2.4,Exercises,3.0,http://r4ds.had.co.nz/data-visualisation.html#exercises
3.3,Aesthetic mappings,2.0,http://r4ds.had.co.nz/data-visualisation.html#aesthetic-mappings
3.3.1,Exercises,3.0,http://r4ds.had.co.nz/data-visualisation.html#exercises-1
3.4,Common problems,2.0,http://r4ds.had.co.nz/data-visualisation.html#common-problems
3.5,Facets,2.0,http://r4ds.had.co.nz/data-visualisation.html#facets
3.5.1,Exercises,3.0,http://r4ds.had.co.nz/data-visualisation.html#exercises-2
3.6,Geometric objects,2.0,http://r4ds.had.co.nz/data-visualisation.html#geometric-objects
3.6.1,Exercises,3.0,http://r4ds.had.co.nz/data-visualisation.html#exercises-3
3.7,Statistical transformations,2.0,http://r4ds.had.co.nz/data-visualisation.html#statistical-transformations
3.7.1,Exercises,3.0,http://r4ds.had.co.nz/data-visualisation.html#exercises-4
3.8,Position adjustments,2.0,http://r4ds.had.co.nz/data-visualisation.html#position-adjustments
3.8.1,Exercises,3.0,http://r4ds.had.co.nz/data-visualisation.html#exercises-5
3.9,Coordinate systems,2.0,http://r4ds.had.co.nz/data-visualisation.html#coordinate-systems
3.9.1,Exercises,3.0,http://r4ds.had.co.nz/data-visualisation.html#exercises-6
3.10,The layered grammar of graphics,2.0,http://r4ds.had.co.nz/data-visualisation.html#the-layered-grammar-of-graphics
4,Workflow: basics,1.0,http://r4ds.had.co.nz/workflow-basics.html
4.1,Coding basics,2.0,http://r4ds.had.co.nz/workflow-basics.html#coding-basics
4.2,What’s in a name?,2.0,http://r4ds.had.co.nz/workflow-basics.html#whats-in-a-name
4.3,Calling functions,2.0,http://r4ds.had.co.nz/workflow-basics.html#calling-functions
4.4,Practice,2.0,http://r4ds.had.co.nz/workflow-basics.html#practice
5,Data transformation,1.0,http://r4ds.had.co.nz/transform.html
5.1,Introduction,2.0,http://r4ds.had.co.nz/transform.html#introduction-2
5.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/transform.html#prerequisites-2
5.1.2,nycflights13,3.0,http://r4ds.had.co.nz/transform.html#nycflights13
5.1.3,dplyr basics,3.0,http://r4ds.had.co.nz/transform.html#dplyr-basics
5.2,Filter rows with filter(),2.0,http://r4ds.had.co.nz/transform.html#filter-rows-with-filter
5.2.1,Comparisons,3.0,http://r4ds.had.co.nz/transform.html#comparisons
5.2.2,Logical operators,3.0,http://r4ds.had.co.nz/transform.html#logical-operators
5.2.3,Missing values,3.0,http://r4ds.had.co.nz/transform.html#missing-values
5.2.4,Exercises,3.0,http://r4ds.had.co.nz/transform.html#exercises-7
5.3,Arrange rows with arrange(),2.0,http://r4ds.had.co.nz/transform.html#arrange-rows-with-arrange
5.3.1,Exercises,3.0,http://r4ds.had.co.nz/transform.html#exercises-8
5.4,Select columns with select(),2.0,http://r4ds.had.co.nz/transform.html#select-columns-with-select
5.4.1,Exercises,3.0,http://r4ds.had.co.nz/transform.html#exercises-9
5.5,Add new variables with mutate(),2.0,http://r4ds.had.co.nz/transform.html#add-new-variables-with-mutate
5.5.1,Useful creation functions,3.0,http://r4ds.had.co.nz/transform.html#mutate-funs
5.5.2,Exercises,3.0,http://r4ds.had.co.nz/transform.html#exercises-10
5.6,Grouped summaries with summarise(),2.0,http://r4ds.had.co.nz/transform.html#grouped-summaries-with-summarise
5.6.1,Combining multiple operations with the pipe,3.0,http://r4ds.had.co.nz/transform.html#combining-multiple-operations-with-the-pipe
5.6.2,Missing values,3.0,http://r4ds.had.co.nz/transform.html#missing-values-1
5.6.3,Counts,3.0,http://r4ds.had.co.nz/transform.html#counts
5.6.4,Useful summary functions,3.0,http://r4ds.had.co.nz/transform.html#summarise-funs
5.6.5,Grouping by multiple variables,3.0,http://r4ds.had.co.nz/transform.html#grouping-by-multiple-variables
5.6.6,Ungrouping,3.0,http://r4ds.had.co.nz/transform.html#ungrouping
5.6.7,Exercises,3.0,http://r4ds.had.co.nz/transform.html#exercises-11
5.7,Grouped mutates (and filters),2.0,http://r4ds.had.co.nz/transform.html#grouped-mutates-and-filters
5.7.1,Exercises,3.0,http://r4ds.had.co.nz/transform.html#exercises-12
6,Workflow: scripts,1.0,http://r4ds.had.co.nz/workflow-scripts.html
6.1,Running code,2.0,http://r4ds.had.co.nz/workflow-scripts.html#running-code
6.2,RStudio diagnostics,2.0,http://r4ds.had.co.nz/workflow-scripts.html#rstudio-diagnostics
6.3,Practice,2.0,http://r4ds.had.co.nz/workflow-scripts.html#practice-1
7,Exploratory Data Analysis,1.0,http://r4ds.had.co.nz/exploratory-data-analysis.html
7.1,Introduction,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#introduction-3
7.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#prerequisites-3
7.2,Questions,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#questions
7.3,Variation,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#variation
7.3.1,Visualising distributions,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#visualising-distributions
7.3.2,Typical values,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#typical-values
7.3.3,Unusual values,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#unusual-values
7.3.4,Exercises,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#exercises-13
7.4,Missing values,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#missing-values-2
7.4.1,Exercises,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#exercises-14
7.5,Covariation,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#covariation
7.5.1,A categorical and continuous variable,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#cat-cont
7.5.2,Two categorical variables,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#two-categorical-variables
7.5.3,Two continuous variables,3.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#two-continuous-variables
7.6,Patterns and models,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#patterns-and-models
7.7,ggplot2 calls,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#ggplot2-calls
7.8,Learning more,2.0,http://r4ds.had.co.nz/exploratory-data-analysis.html#learning-more
8,Workflow: projects,1.0,http://r4ds.had.co.nz/workflow-projects.html
8.1,What is real?,2.0,http://r4ds.had.co.nz/workflow-projects.html#what-is-real
8.2,Where does your analysis live?,2.0,http://r4ds.had.co.nz/workflow-projects.html#where-does-your-analysis-live
